week,on,black_swan,zero_o_clock,friends,filter,moon,my_time,eternal,inner_child,louder_than_bombs,ugh,shadow,ego,respect,boy_with_luv
1,,,,,,,,,,,,,,,24
2,,,,,,,,,,,,,,,22
3,,13,,,,,,,,,,,,,19
4,,7,,,,,,,,,,,,,14
5,,10,,,,,,,,,,,,,14
6,,11,,,,,,,,,,,,,13
7,,15,,,,,,,,,,,,,13
8,11,12,32,40,37,55,44,66,54,62,59,76,81,73,15
9,1,10,6,13,15,22,21,38,24,36,34,48,51,47,19
10,3,13,12,19,24,36,37,50,44,55,54,72,79,77,17
11,2,17,16,27,37,45,47,60,52,67,64,79,86,85,19
12,4,22,23,33,42,55,57,69,62,74,76,85,89,90,18
13,10,26,25,38,56,62,65,78,73,86,87,94,97,98,19
14,10,31,30,43,58,67,70,83,76,94,95,101,108,115,17
15,10,35,34,50,64,71,80,86,85,95,96,103,106,112,21
16,11,38,33,54,64,73,79,88,87,92,95,102,108,111,17
17,13,36,34,49,63,68,75,86,84,92,95,102,104,108,17
18,13,46,42,57,65,72,75,87,81,94,99,105,109,115,19
19,13,48,44,55,63,71,73,85,82,90,93,98,104,109,22
20,14,52,46,57,70,73,76,87,86,93,95,101,111,112,23
21,18,55,50,62,69,75,84,91,90,97,100,108,113,115,21
22,20,63,58,70,85,92,98,106,103,118,119,125,128,130,25
23,24,65,61,71,87,92,99,105,104,116,117,122,126,131,26
24,24,68,63,73,88,94,102,103,105,114,116,124,129,138,28
25,25,70,68,73,95,98,106,104,110,120,118,126,130,136,29
26,28,73,68,80,97,99,108,107,114,128,127,135,138,151,29
27,30,69,66,76,92,98,110,109,115,126,123,131,141,147,32
28,37,73,70,79,95,98,113,111,114,122,123,135,147,162,36
29,43,87,86,94,103,107,116,117,121,175,191,,,,39
30,46,94,92,98,113,110,124,120,148,,,,,,37
31,49,94,92,100,114,110,172,152,,,,,,,39
32,57,99,98,102,122,113,192,184,,,,,,,41
33,58,100,99,103,125,116,,,,,,,,,45
34,50,96,95,100,119,113,149,153,180,,,,,,41
35,42,81,80,85,98,97,107,109,122,124,128,132,165,167,31
36,43,84,83,89,99,100,112,115,138,145,164,169,194,,28
37,44,90,87,92,100,99,115,118,169,180,186,194,,,26
38,42,84,83,91,99,98,111,113,179,196,,,,,26
39,47,90,89,94,102,100,115,119,,,,,,,27
40,48,92,90,95,103,102,151,155,,,,,,,27
41,48,92,89,96,105,104,157,160,,,,,,,22
42,50,90,87,96,99,100,161,166,,,,,,,23
43,60,106,102,115,122,149,,,,,,,,,31
44,64,134,105,143,159,195,,,,,,,,,35
45,72,159,126,170,,,,,,,,,,,36
46,76,170,143,191,,,,,,,,,,,39
47,78,181,160,198,,,,,,,,,,,38
48,73,193,162,,,,,,,,,,,,37
49,77,,197,,,,,,,,,,,,36
50,83,,,,,,,,,,,,,,42
51,93,,,,,,,,,,,,,,46
52,97,,,,,,,,,,,,,,51
